Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
5,Andrew Kittredge,2018.0,-19.0,-87.0,-45.0,-124.0,78.0,1.0
15,Manny Banuelos,2019.0,-24.0,-78.0,-66.0,-96.0,87.0,2.0
18,Phil Hughes,2016.0,-19.0,-67.0,-23.0,-111.0,57.0,3.0
14,Yovani Gallardo,2017.0,-19.0,-64.0,-47.0,-88.0,72.0,4.0
3,Luis Garcia,2018.0,-9.0,-68.0,-40.0,-98.0,110.0,5.0
10,Jharel Cotton,2017.0,-22.0,-63.0,-42.0,-82.0,81.0,6.0
2,Jose Urena,2019.0,-16.0,-59.0,-31.0,-103.0,73.0,7.0
12,Jerad Eickhoff,2017.0,-13.0,-53.0,-42.0,-99.0,92.0,8.0
23,Kevin Siegrist,2017.0,-13.0,-54.0,-57.0,-87.0,109.0,9.0
7,Kendall Graveman,2016.0,-12.0,-46.0,-26.0,-94.0,58.0,10.0
9,Tanner Roark,2018.0,-14.0,-49.0,-28.0,-88.0,81.0,11.0
16,Zach Plesac,2019.0,-17.0,-43.0,-35.0,-73.0,76.0,12.0
19,Francisco Liriano,2019.0,-12.0,-39.0,-50.0,-75.0,90.0,13.0
20,Zach Eflin,2018.0,-13.0,-49.0,-29.0,-90.0,96.0,14.0
0,Cole Hamels,2018.0,-16.0,-43.0,-35.0,-78.0,98.0,15.0
4,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,16.0
17,Michael Fulmer,2016.0,-11.0,-34.0,-27.0,-76.0,83.0,17.0
1,Greg Holland,2017.0,-13.0,-41.0,-46.0,-58.0,122.0,18.0
8,Blake Snell,2019.0,-14.0,-48.0,-38.0,-77.0,137.0,19.0
21,Lou Trivino,2018.0,-11.0,-33.0,-42.0,-61.0,110.0,20.0
22,Corbin Burnes,2018.0,-11.0,-29.0,-29.0,-61.0,92.0,21.0
13,Madison Bumgarner,2016.0,-12.0,-31.0,-24.0,-68.0,110.0,22.0
6,Adam Ottavino,2018.0,-7.0,-28.0,-47.0,-47.0,145.0,23.0
11,Kirby Yates,2018.0,-10.0,-24.0,-27.0,-56.0,142.0,24.0
